code,title,semester,type,session,category,date1,start_time1,end_time1,date2,start_time2,end_time2,date3,start_time3,end_time3
ECE1774H,Sensory Cybernetics,F,LEC,1,Biomedical Engineering,1,10,12,,,,,,
BME1466H,Advanced Topics in Magnetic Resonance Imaging,S,LEC,1,Biomedical Engineering,1,10,12,,,,,,
ECE537H1,Random Processes,F,TUT,1,Communications,1,16,18,,,,,,
ECE1475H,Bio-Photonics,S,LEC,1,Biomedical Engineering,4,15,18,,,,,,
JEB1433H,Medical Imaging,S,LEC,1,Biomedical Engineering,4,10,13,,,,,,
JEB1444H,Neural Engineering,S,LEC,1,Biomedical Engineering,4,15,17,,,,,,
ECE537H1,Random Processes,F,LEC,1,Communications,1,10,11,2,10,11,4,10,11
ECE537H1,Random Processes,F,PRA,1,Communications,1,10,12,,,,,,
ECE537H1,Random Processes,F,PRA,2,Communications,5,10,12,,,,,,
ECE1501H,Error Control Codes,F,LEC,1,Communications,2,15,17,5,10,12,,,